timestamp,flow_key,pkt_count,byte_count,duration_s,avg_pkt_size,avg_iat_ms,max_iat_ms
1776232280.0869143,"('142.250.105.95', '172.20.211.225', 443, 55378, 6)",1,66,0.0,66.0,0.0,0
1776232280.0869143,"('172.20.211.225', '131.253.33.254', 58497, 443, 6)",1,55,0.0,55.0,0.0,0
1776232280.0869143,"('131.253.33.254', '172.20.211.225', 443, 58497, 6)",1,66,0.0,66.0,0.0,0
1776232285.101814,"('172.20.211.225', '204.79.197.222', 58462, 443, 6)",1,55,0.0,55.0,0.0,0
1776232285.101814,"('204.79.197.222', '172.20.211.225', 443, 58462, 6)",1,66,0.0,66.0,0.0,0
1776232285.101814,"('172.20.211.225', '173.194.219.95', 55380, 443, 6)",1,55,0.0,55.0,0.0,0
1776232285.101814,"('173.194.219.95', '172.20.211.225', 443, 55380, 6)",1,66,0.0,66.0,0.0,0
1776232285.101814,"('172.20.211.225', '216.239.38.223', 55384, 443, 6)",1,55,0.0,55.0,0.0,0
1776232285.101814,"('216.239.38.223', '172.20.211.225', 443, 55384, 6)",1,66,0.0,66.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 59624, 53, 17)",1,83,0.0,83.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 57862, 53, 17)",1,83,0.0,83.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 59624, 17)",1,223,0.0,223.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 57862, 17)",1,537,0.0,537.0,0.0,0
1776232285.101814,"('172.20.211.225', '35.186.224.24', 54573, 443, 17)",9,4793,0.1536,532.56,19.2,102.56
1776232285.101814,"('35.186.224.24', '172.20.211.225', 443, 54573, 17)",9,4124,0.1031,458.22,12.89,51.79
1776232285.101814,"('172.20.211.225', '128.192.0.0', 50485, 53, 17)",1,79,0.0,79.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 55360, 53, 17)",1,79,0.0,79.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 50485, 17)",1,129,0.0,129.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 55360, 17)",1,343,0.0,343.0,0.0,0
1776232285.101814,"('172.20.211.225', '64.233.177.84', 59410, 443, 17)",25,9710,0.4674,388.4,19.48,212.11
1776232285.101814,"('64.233.177.84', '172.20.211.225', 443, 59410, 17)",27,16176,0.4674,599.11,17.98,212.63
1776232285.101814,"('172.20.211.225', '64.233.177.84', 54025, 443, 6)",7,2289,0.0006,327.0,0.1,0.58
1776232285.101814,"('64.233.177.84', '172.20.211.225', 443, 54025, 6)",7,5479,0.0006,782.71,0.1,0.58
1776232285.101814,"('172.20.211.225', '104.18.13.46', 54026, 80, 6)",4,228,0.0507,57.0,16.89,50.68
1776232285.101814,"('104.18.13.46', '172.20.211.225', 80, 54026, 6)",2,126,0.0507,63.0,50.68,50.68
1776232285.101814,"('172.20.211.225', '64.233.177.95', 62991, 443, 17)",12,5671,0.2093,472.58,19.03,102.53
1776232285.101814,"('172.20.211.225', '128.192.0.0', 49705, 53, 17)",1,77,0.0,77.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 62287, 53, 17)",1,77,0.0,77.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 49705, 17)",1,127,0.0,127.0,0.0,0
1776232285.101814,"('64.233.177.95', '172.20.211.225', 443, 62991, 17)",14,6465,0.21,461.79,16.15,53.28
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 62287, 17)",1,421,0.0,421.0,0.0,0
1776232285.101814,"('172.20.211.225', '172.253.124.101', 53199, 443, 17)",61,12480,0.5682,204.59,9.47,358.19
1776232285.101814,"('172.253.124.101', '172.20.211.225', 443, 53199, 17)",70,105554,0.5682,1507.91,8.23,358.19
1776232285.101814,"('172.20.211.225', '172.253.124.101', 63120, 443, 6)",7,2255,0.052,322.14,8.67,51.51
1776232285.101814,"('172.253.124.101', '172.20.211.225', 443, 63120, 6)",6,7883,0.0005,1313.83,0.1,0.52
1776232285.101814,"('172.20.211.225', '128.192.0.0', 53867, 53, 17)",1,83,0.0,83.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 58098, 53, 17)",1,83,0.0,83.0,0.0,0
